Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,Name,Roaster,Rating,With Milk,Acidity
"Henderson, Nevada","Volcan, Panama",Light,64/84,$49.95/8 ounces,July 2021,9.0,9.0,9.0,9.0,8.0,Mojave Vault Series Geisha Natural,Dragonfly Coffee Roasters,94.0,,
"Durango, Colorado","Vereda, Huila Province, Colombia",Medium-Light,56/74,$19.95/12 ounces,July 2021,8.0,8.0,8.0,9.0,8.0,Colombia Black Condor,Durango Coffee Company,91.0,,
"Hong Kong, China",Brazil; Papua New Guinea; Indonesia,Medium-Light,56/76,HKD $118/200 grams,July 2021,9.0,8.0,9.0,9.0,8.0,Choco Blend,NINETYs Roastery,93.0,,
"Madison, Wisconsin","Kabiufa, Eastern Highlands, Papua New Guinea",Light,60/82,$16.00/12 ounces,July 2021,9.0,9.0,9.0,9.0,8.0,Kabiufa Papua New Guinea,JBC Coffee Roasters,94.0,,
"New Taipei City, Taiwan","Guji Zone, Oromia Region, Hambela Woreda, Ethiopia",Medium-Light,60/78,NT $350/227 grams,July 2021,9.0,9.0,9.0,9.0,8.0,Ethiopia Buku Abela,Home in Harmony,94.0,,
"Manlius, New York","Aratoca, Santander Department, Colombia",Medium-Light,58/78,$18.00/12 ounces,July 2021,9.0,9.0,9.0,9.0,9.0,Colombia Finca Santa Maria,SkyTop Coffee,95.0,,
"Henderson, Nevada","Sana’a growing region, Yemen",Light,63/83,$35.00/8 ounces,July 2021,9.0,9.0,9.0,9.0,8.0,Yemen Mocha Haimi,Dragonfly Coffee Roasters,94.0,,
"Yilan, Taiwan","El Guarco, Cartago Province, Costa Rica",Light,62/80,NT $600/200 grams,July 2021,9.0,9.0,9.0,9.0,8.0,Costa Rica Hacienda Tobosi Villalobos Anaerobic Natural,GK Coffee,94.0,,
"Manlius, New York","Santander Department, Colombia",Medium,56/64,$27.00/12 ounces,July 2021,9.0,9.0,9.0,9.0,8.0,Colombia Wush Wush,SkyTop Coffee,94.0,,
"Osaka, Japan","Minas Gerais State, southeastern Brazil",Light,82/104,¥2980/100 grams,July 2021,9.0,9.0,9.0,9.0,8.0,Brazil Gauriroba Natural,SOT Coffee Roaster,94.0,,
"Taoyuan, Taiwan","Rutsiro District, western Rwanda",Medium-Dark,42/58,NT $800/8 ounces,July 2021,9.0,,9.0,9.0,8.0,Rwanda “Silverback Returns”,Simon Hsieh Aroma Roast Coffees,94.0,9.0,
"Henderson, Nevada","Sana’a growing region, Yemen",Medium-Light,60/80,$35.00/8 ounces,July 2021,9.0,9.0,8.0,9.0,8.0,Yemen Mocha Khulani,Dragonfly Coffee Roasters,93.0,,
"Taoyuan, Taiwan","Jaen, Cajamarca, Peru",Medium-Dark,40/60,NT $600/8 ounces,July 2021,8.0,,9.0,9.0,8.0,Peru “El Dorado”,Simon Hsieh Aroma Roast Coffees,93.0,9.0,
"Henderson, Nevada","Sana’a growing region, Yemen",Medium-Light,62/78,$35.00/8 ounces,July 2021,9.0,8.0,9.0,9.0,8.0,Yemen Mocha Harazi,Dragonfly Coffee Roasters,93.0,,
"Yuanlin, Taiwan",Brazil; Colombia; Guatemala,Medium-Light,57/77,NT $380/12 ounces,July 2021,9.0,8.0,8.0,9.0,8.0,Top Blend 2,Forest Roasting,92.0,,
"Yuanlin, Taiwan",Panama; Ethiopia; Costa Rica,Medium-Light,58/76,NT $380/12 ounces,July 2021,9.0,9.0,8.0,9.0,8.0,Top Blend 1,Forest Roasting,93.0,,
"Sapporo, Japan",Colombia; Ecuador; Indonesia; Uganda,Medium-Dark,42/56,$48.00/12 ounces,July 2021,8.0,,8.0,9.0,7.0,Quattoro Mountain Blend,Japanese Coffee Co.,91.0,9.0,
"Yilan, Taiwan","Ipanema, Brazil",,0/0,NT $200/160-ml bottle,July 2021,9.0,,9.0,9.0,8.0,Brazil Ipanema Golden Edition C26 Lychee,GK Coffee,94.0,9.0,
"Spokane, Washington","Guji Zone, Oromia Region, Ethiopia",,0/0,$5.50/12-ounce bottle,July 2021,9.0,,9.0,9.0,8.0,Ethiopia Mormora Cold Brew,Roast House,94.0,9.0,
"New Taipei City, Taiwan",Ethiopia,,0/0,$2.00/200-ml bottle,July 2021,9.0,,9.0,9.0,8.0,Ethiopia Blend Cold Brew,Auto Coffee,93.0,8.0,
"Chicago, Illinois",Ethiopia; Uganda; Colombia,,0/0,$35.00/six 8-ounce cans,July 2021,9.0,,8.0,9.0,8.0,Black Cold Brew,Big Shoulders Coffee,93.0,9.0,
"San Jose, California",Brazil; Ethiopia; Guatemala,,0/0,$4.49/280 ml can,July 2021,9.0,,8.0,9.0,8.0,Kyoto Iced Coffee,Chromatic x Dripdash Collab,93.0,9.0,
"Grove City, Pennsylvania",Kenya,,0/0,$4.00/12-ounce bottle,July 2021,9.0,,8.0,9.0,8.0,Kenya Cold Brew,Collage Coffee,93.0,9.0,
"Denver, Colorado",Ethiopia; Brazil,,0/0,$14.00/four 8-ounce cans,July 2021,9.0,,8.0,9.0,9.0,Dead Reckoning,Corvus Coffee,93.0,8.0,
"Martinez, California",Guatemala; Ethiopia,,0/0,$4.25/12-ounce bottle,July 2021,8.0,,8.0,9.0,9.0,Cold Brew,States Coffee,93.0,9.0,
"Kihei, Maui, Hawai’i",Colombia; Guatemala,,0/0,$25.00/six 12-ounce cans,July 2021,9.0,,8.0,9.0,8.0,Cold Brew Coffee,Origin Coffee Roasters,92.0,8.0,
"Emeryville, California",Guatemala; Costa Rica; Papua New Guinea,,0/0,$33.00/twelve 6-ounce cans,July 2021,8.0,,9.0,9.0,8.0,Flash Brewed Coffee,Highwire Coffee,93.0,9.0,
"Madison, Wisconsin","Guji Zone, Oromia Region, Southern Ethiopia",Medium-Light,58/78,$18.00/12 ounces,July 2021,9.0,9.0,9.0,9.0,9.0,Gigesa Natural,JBC Coffee Roasters,95.0,,
"Madison, Wisconsin","Rosario de Desamparados, Tarrazú, Costa Rica",Medium-Light,60/78,$16.00/8 ounces,July 2021,9.0,9.0,9.0,9.0,9.0,El Jocote Natural,JBC Coffee Roasters,95.0,,
"Chicago, Illinois","Finca Santa Teresa, Volcan, Panama",Medium-Light,60/78,$87.00/12 ounces,July 2021,9.0,9.0,9.0,9.0,8.0,Panama Finca Santa Teresa Summer Gesha,Big Shoulders Coffee,94.0,,
"San Diego, California","Caicedonia, Valle de Cauca Department, Colombia",Medium-Light,60/77,$28.00/12 ounces,July 2021,9.0,9.0,9.0,9.0,8.0,Baby Dragons,Nostalgia Coffee Roasters,94.0,,
"Chicago, Illinois","Tolima Department, Colombia",Medium-Light,56/78,$25.00/12 ounces,July 2021,9.0,8.0,9.0,9.0,8.0,Colombia Lagoon Java Anaerobic,Big Shoulders Coffee,93.0,,
"Taichung, Taiwan","Cundinamarca Department, central Colombia",Medium-Light,58/78,NT $500/150 grams,July 2021,9.0,8.0,9.0,9.0,8.0,Colombia La Palma y El Tucan,Le Brewlife,93.0,,
"Chicago, Illinois","Pitalito-Bruselas, Huila Department, Colombia",Medium-Light,58/76,$25.00/12 ounces,July 2021,9.0,9.0,8.0,9.0,8.0,Colombia Pink Bourbon Farmer Collaboration,Big Shoulders Coffee,93.0,,
"Taichung, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Light,62/80,NT $650/150 grams,July 2021,9.0,9.0,8.0,9.0,8.0,Ethiopia Wush Wush G1,Le Brewlife,93.0,,
"Taichung, Taiwan","Blue Mountain growing region, eastern Jamaica.",Light,64/82,NT $1450/150 grams,July 2021,9.0,8.0,8.0,9.0,8.0,Jamaica Blue Mountain,Le Brewlife,92.0,,
"Taichung, Taiwan",Not disclosed,Medium-Light,52/70,NT $350/250 grams,July 2021,8.0,,9.0,8.0,8.0,Le Brewlife Espresso Blend,Le Brewlife,92.0,9.0,
"Pahala, Hawaii","Kona growing region, Big Island of Hawai’i",Medium-Light,58/80,$25.00/4 ounces,June 2021,9.0,9.0,9.0,9.0,9.0,Kona Maragogype Peaberry Natural,Rusty’s Hawaiian,95.0,,
"Johns Creek, Georgia","Pichincha Province, Ecuador",Light,62/80,$45.00/12 ounces,June 2021,9.0,9.0,9.0,9.0,8.0,Ecuador San José de Minas Double-Anaerobic,Peach Coffee Roasters,94.0,,
"Johns Creek, Georgia","Huila Department, Colombia",Medium-Light,52/72,$28.99/12 ounces,June 2021,9.0,9.0,8.0,9.0,8.0,Colombia Bandida Lactic Natural,Peach Coffee Roasters,93.0,,
"Madison, Wisconsin","Nyeri growing region, Kenya",Medium-Light,58/80,$20.50/12 ounces,June 2021,9.0,9.0,9.0,9.0,9.0,Nyeri Hill Kenya,JBC Coffee Roasters,95.0,,
"Madison, Wisconsin","Pichincha Province, Ecuador",Medium-Light,56/76,$21.00/12 ounces,June 2021,9.0,,9.0,9.0,9.0,La Perla Chiquita Ecuador,JBC Coffee Roasters,95.0,,9.0
"Madison, Wisconsin","Aceh Province, Sumatra, Indonesia",Medium-Light,56/74,$17.90/12 ounces,June 2021,9.0,,9.0,9.0,8.0,Pantan Musara Sumatra,JBC Coffee Roasters,94.0,9.0,
"Madison, Wisconsin","San Isidro, Acevedo, Huila, Colombia",Medium-Light,58/78,$20.00/12 ounces,June 2021,9.0,9.0,9.0,9.0,8.0,Las Flores Colombia,JBC Coffee Roasters,94.0,,
"Bozeman, Montana",Colombia; El Salvador; Ethiopia,Medium,49/63,$16.95/12 ounces,June 2021,9.0,,8.0,9.0,8.0,Snowfield Espresso Blend,RamsHead Coffee Roasters,93.0,9.0,
