,Rating,Roaster,Roaster Location,Roast,Name,Coffee Origin,Aroma,Body,Flavor,Acidity/Structure,Aftertaste,Agtron,Agtron scale,euro,euro/gr,Review Date,lat,lon,display_name
0,94.0,Dragonfly Coffee Roasters,"Henderson, Nevada",Light,Mojave Vault Series Geisha Natural,"Volcan, Panama",9.0,9.0,9.0,9.0,8.0,64.0,84.0,42.4575,0.18491942508710804,July 2021,36.0301134,-114.9826194,"Henderson, Clark County, Nevada, United States"
1,91.0,Durango Coffee Company,"Durango, Colorado",Medium-Light,Colombia Black Condor,"Vereda, Huila Province, Colombia",8.0,8.0,9.0,8.0,8.0,56.0,74.0,16.9575,0.04923780487804878,July 2021,37.2769484,-107.8766,"Durango, La Plata County, Colorado, United States"
2,93.0,NINETYs Roastery,"Hong Kong, China",Medium-Light,Choco Blend,Brazil; Papua New Guinea; Indonesia,9.0,9.0,9.0,8.0,8.0,56.0,76.0,12.98,0.0649,July 2021,22.2793278,114.1628131,"香港島 Hong Kong Island, 香港 Hong Kong, 中国"
3,94.0,JBC Coffee Roasters,"Madison, Wisconsin",Light,Kabiufa Papua New Guinea,"Kabiufa, Eastern Highlands, Papua New Guinea",9.0,9.0,9.0,9.0,8.0,60.0,82.0,13.6,0.03948896631823461,July 2021,43.074761,-89.3837613,"Madison, Dane County, Wisconsin, United States"
4,94.0,Home in Harmony,"New Taipei City, Taiwan",Medium-Light,Ethiopia Buku Abela,"Guji Zone, Oromia Region, Hambela Woreda, Ethiopia",9.0,9.0,9.0,9.0,8.0,60.0,78.0,10.5,0.046255506607929514,July 2021,25.072134249999998,121.67991896754117,"保長國小, 553, 大同路三段, 保安里, 汐止區, 新北市, 22173, 臺灣"
5,95.0,SkyTop Coffee,"Manlius, New York",Medium-Light,Colombia Finca Santa Maria,"Aratoca, Santander Department, Colombia",9.0,9.0,9.0,9.0,9.0,58.0,78.0,15.299999999999999,0.04442508710801394,July 2021,43.0020107,-75.9768632,"Town of Manlius, Onondaga County, New York, United States"
6,94.0,Dragonfly Coffee Roasters,"Henderson, Nevada",Light,Yemen Mocha Haimi,"Sana’a growing region, Yemen",9.0,9.0,9.0,9.0,8.0,63.0,83.0,29.75,0.12957317073170732,July 2021,36.0301134,-114.9826194,"Henderson, Clark County, Nevada, United States"
7,94.0,GK Coffee,"Yilan, Taiwan",Light,Costa Rica Hacienda Tobosi Villalobos Anaerobic Natural,"El Guarco, Cartago Province, Costa Rica",9.0,9.0,9.0,9.0,8.0,62.0,80.0,18.0,0.09,July 2021,24.7519538,121.7533344,"宜蘭市, 宜蘭縣, 臺灣"
8,94.0,SkyTop Coffee,"Manlius, New York",Medium,Colombia Wush Wush,"Santander Department, Colombia",9.0,9.0,9.0,9.0,8.0,56.0,64.0,22.95,0.06663763066202091,July 2021,43.0020107,-75.9768632,"Town of Manlius, Onondaga County, New York, United States"
9,94.0,SOT Coffee Roaster,"Osaka, Japan",Light,Brazil Gauriroba Natural,"Minas Gerais State, southeastern Brazil",9.0,9.0,9.0,9.0,8.0,82.0,104.0,22.946,0.22946000000000003,July 2021,34.661629000000005,135.49992679245517,"大阪府, 日本"
